time_s,pressure_mmHg
0.0,75.694507
0.005,76.75838
0.01,76.231831
0.015,75.522535
0.02,75.350634
0.025,74.81331
0.03,74.641408
0.035,74.469437
0.04,73.942887
0.045,73.942887
0.05,73.760211
0.055,74.469437
0.06,74.469437
0.065,74.114859
0.07,74.81331
0.075,75.522535
0.08,76.403732
0.085,78.864577
0.09,82.034648
0.095,86.966972
0.1,92.425986
0.105,99.991127
0.11,106.685845
0.115,113.369789
0.12,119.892606
0.125,127.103169
0.13,131.863592
0.135,136.61331
0.14,139.428732
0.145,142.072254
0.15,142.953451
0.155,141.717676
0.16,140.664507
0.165,138.547606
0.17,135.033662
0.175,130.273169
0.18,126.57662
0.185,123.062676
0.19,119.18338
0.195,114.605634
0.2,110.554366
0.205,108.448169
0.21,106.159296
0.215,103.870423
0.22,102.634577
0.225,102.108028
0.23,102.634577
0.235,102.28
0.24,102.806549
0.245,104.225
0.25,104.042324
0.255,104.923521
0.26,106.159296
0.265,105.632746
0.27,106.685845
0.275,107.566972
0.28,107.384296
0.285,106.857746
0.29,106.685845
0.295,105.97662
0.3,104.751549
0.305,103.515775
0.31,101.581479
0.315,100.345704
0.32,98.766056
0.325,97.003732
0.33,96.122535
0.335,93.833662
0.34,93.124437
0.345,92.780563
0.35,91.544789
0.355,92.243239
0.36,93.307113
0.365,92.952535
0.37,94.360211
0.375,96.122535
0.38,96.122535
0.385,96.477183
0.39,97.35831
0.395,98.056831
0.4,98.411479
0.405,98.056831
0.41,98.056831
0.415,98.411479
0.42,97.88493
0.425,98.056831
0.43,97.35831
0.435,96.477183
0.44,95.950634
0.445,94.360211
0.45,93.661761
0.455,93.479085
0.46,91.190141
0.465,90.663592
0.47,90.663592
0.475,89.255915
0.48,87.665493
0.485,87.32162
0.49,87.138944
0.495,85.559296
0.5,84.85007
0.505,84.506197
0.51,83.796972
0.515,83.442324
0.52,84.323521
0.525,83.968873
0.53,83.968873
0.535,83.625
0.54,83.625
0.545,83.270423
0.55,82.389225
0.555,83.098451
0.56,83.442324
0.565,82.389225
0.57,82.034648
0.575,82.034648
0.58,81.862676
0.585,81.153451
0.59,81.508028
0.595,81.862676
0.6,81.508028
0.605,81.508028
0.61,81.336127
0.615,81.862676
0.62,81.862676
0.625,81.153451
0.63,81.508028
0.635,80.100352
0.64,79.745704
0.645,80.100352
0.65,80.272254
0.655,80.272254
0.66,79.92838
0.665,80.272254
0.67,80.45493
0.675,79.92838
0.68,79.92838
0.685,79.391127
0.69,78.692606
0.695,78.864577
0.7,78.864577
0.705,78.520704
0.71,77.811479
0.715,78.166056
0.72,78.166056
0.725,78.338028
0.73,77.456831
0.735,76.575634
0.74,77.28493
0.745,77.102254
0.75,76.403732
0.755,76.75838
0.76,76.403732
0.765,76.403732
0.77,76.403732
0.7749,75.694507
0.78,75.167958
0.7849,74.81331
0.79,73.942887
0.7949,74.641408
0.7999,74.469437
0.8049,74.641408
0.8099,74.286761
0.8149,74.114859
0.8199,73.942887
0.8249,74.641408
0.8299,74.114859
0.8349,73.233662
0.8399,73.58831
0.8449,73.405634
0.8499,73.233662
0.8549,72.707113
0.8599,73.061761
0.8649,73.061761
0.8699,72.352535
0.8749,72.180563
0.8799,72.180563
0.8849,72.180563
