time_s,pressure_mmHg
0.0,107.4862
0.005,108.9969
0.01,108.2492
0.015,107.242
0.02,106.9979
0.025,106.2349
0.03,105.9908
0.035,105.7466
0.04,104.9989
0.045,104.9989
0.05,104.7395
0.055,105.7466
0.06,105.7466
0.065,105.2431
0.07,106.2349
0.075,107.242
0.08,108.4933
0.085,111.9877
0.09,116.4892
0.095,123.4931
0.1,131.2449
0.105,141.9874
0.11,151.4939
0.115,160.9851
0.12,170.2475
0.125,180.4865
0.13,187.2463
0.135,193.9909
0.14,197.9888
0.145,201.7426
0.15,202.9939
0.155,201.2391
0.16,199.7436
0.165,196.7376
0.17,191.7478
0.175,184.9879
0.18,179.7388
0.185,174.749
0.19,169.2404
0.195,162.74
0.2,156.9872
0.205,153.9964
0.21,150.7462
0.215,147.496
0.22,145.7411
0.225,144.9934
0.23,145.7411
0.235,145.2376
0.24,145.9853
0.245,147.9995
0.25,147.7401
0.255,148.9914
0.26,150.7462
0.265,149.9985
0.27,151.4939
0.275,152.7451
0.28,152.4857
0.285,151.738
0.29,151.4939
0.295,150.4868
0.3,148.7472
0.305,146.9924
0.31,144.2457
0.315,142.4909
0.32,140.2478
0.325,137.7453
0.33,136.494
0.335,133.2438
0.34,132.2367
0.345,131.7484
0.35,129.9936
0.355,130.9854
0.36,132.4961
0.365,131.9926
0.37,133.9915
0.375,136.494
0.38,136.494
0.385,136.9976
0.39,138.2488
0.395,139.2407
0.4,139.7443
0.405,139.2407
0.41,139.2407
0.415,139.7443
0.42,138.9966
0.425,139.2407
0.43,138.2488
0.435,136.9976
0.44,136.2499
0.445,133.9915
0.45,132.9997
0.455,132.7403
0.46,129.49
0.465,128.7423
0.47,128.7423
0.475,126.7434
0.48,124.485
0.485,123.9967
0.49,123.7373
0.495,121.4942
0.5,120.4871
0.505,119.9988
0.51,118.9917
0.515,118.4881
0.52,119.7394
0.525,119.2358
0.53,119.2358
0.535,118.7475
0.54,118.7475
0.545,118.244
0.55,116.9927
0.555,117.9998
0.56,118.4881
0.565,116.9927
0.57,116.4892
0.575,116.4892
0.58,116.245
0.585,115.2379
0.59,115.7414
0.595,116.245
0.6,115.7414
0.605,115.7414
0.61,115.4973
0.615,116.245
0.62,116.245
0.625,115.2379
0.63,115.7414
0.635,113.7425
0.64,113.2389
0.645,113.7425
0.65,113.9866
0.655,113.9866
0.66,113.4983
0.665,113.9866
0.67,114.246
0.675,113.4983
0.68,113.4983
0.685,112.7354
0.69,111.7435
0.695,111.9877
0.7,111.9877
0.705,111.4994
0.71,110.4923
0.715,110.9958
0.72,110.9958
0.725,111.24
0.73,109.9887
0.735,108.7374
0.74,109.7446
0.745,109.4852
0.75,108.4933
0.755,108.9969
0.76,108.4933
0.765,108.4933
0.77,108.4933
0.7749,107.4862
0.78,106.7385
0.7849,106.2349
0.79,104.9989
0.7949,105.9908
0.7999,105.7466
0.8049,105.9908
0.8099,105.4872
0.8149,105.2431
0.8199,104.9989
0.8249,105.9908
0.8299,105.2431
0.8349,103.9918
0.8399,104.4954
0.8449,104.236
0.8499,103.9918
0.8549,103.2441
0.8599,103.7477
0.8649,103.7477
0.8699,102.7406
0.8749,102.4964
0.8799,102.4964
0.8849,102.4964
