time_s,pressure_mmHg
0.0,68.483944
0.005,67.602817
0.01,67.420141
0.015,67.602817
0.02,67.248169
0.025,66.893592
0.03,67.602817
0.035,66.538944
0.04,66.72162
0.045,66.72162
0.05,66.893592
0.055,66.538944
0.06,66.19507
0.065,67.420141
0.07,69.010493
0.075,69.89169
0.08,72.879085
0.085,76.049085
0.09,79.391127
0.095,83.625
0.1,88.374718
0.1049,92.597887
0.11,97.702183
0.1149,102.462676
0.12,106.685845
0.125,111.618239
0.1299,116.367958
0.135,119.366056
0.1399,122.525352
0.145,125.168873
0.1499,125.351549
0.1549,124.996972
0.1599,124.470352
0.1649,122.88
0.1699,119.892606
0.1749,117.249085
0.1799,114.605634
0.1849,110.210493
0.19,106.159296
0.1949,103.687676
0.1999,100.173803
0.2049,96.477183
0.2099,94.18831
0.2149,92.243239
0.2199,90.137042
0.2249,88.202817
0.2299,86.79507
0.2349,86.440423
0.2399,85.37662
0.2449,84.506197
0.2499,84.323521
0.2549,84.323521
0.2599,84.678099
0.2649,84.506197
0.2699,84.85007
0.2749,84.85007
0.2799,84.323521
0.2849,84.506197
0.2899,84.678099
0.2949,84.678099
0.2999,84.506197
0.3049,83.625
0.3099,83.625
0.3149,83.442324
0.3199,82.561197
0.3249,82.915775
0.3299,83.270423
0.3349,82.915775
0.3399,82.389225
0.3449,82.389225
0.3499,82.561197
0.3549,83.098451
0.3599,83.270423
0.3649,83.625
0.3699,83.968873
0.3749,83.968873
0.3799,83.968873
0.3849,84.506197
0.3899,84.506197
0.3949,85.37662
0.3999,85.559296
0.4049,85.032746
0.4099,85.204648
0.4149,85.559296
0.4199,85.032746
0.4249,84.678099
0.4299,84.506197
0.4349,83.442324
0.4399,82.389225
0.4449,81.508028
0.4499,80.981479
0.4549,79.745704
0.4599,79.219155
0.4649,78.864577
0.4699,77.811479
0.4749,77.102254
0.4799,76.930282
0.4849,75.522535
0.4899,75.167958
0.4949,74.995986
0.4999,74.114859
0.5049,73.061761
0.5099,72.879085
0.5149,72.879085
0.5199,71.654014
0.5249,71.997887
0.5299,71.825986
0.5349,70.944789
0.5399,71.471338
0.5449,71.471338
0.5499,70.772887
0.5549,70.418239
0.5599,70.590141
0.5649,70.590141
0.5699,69.709014
0.5749,69.89169
0.5799,70.063592
0.5849,70.772887
0.5899,70.063592
0.5949,69.89169
0.5999,70.590141
0.6049,70.418239
0.6099,70.063592
0.6149,70.418239
0.6199,70.590141
0.6249,70.246268
0.6299,70.246268
0.6349,70.418239
0.6399,69.709014
0.6449,69.89169
0.6499,69.537042
0.6549,69.89169
0.6599,69.365141
0.6649,69.182465
0.6699,69.182465
0.6749,69.010493
0.6799,69.010493
0.6849,68.483944
0.6899,68.301268
0.6949,67.957394
0.6999,67.774718
0.7049,67.420141
0.7099,67.248169
