variable_name,units,value,data_reference
E_L2_E0,J_per_m3,179868.5661204493,TO_DO
l_L2_E0,metre,2.3237999999999997e-06,TO_DO
r_0_L2_E0,metre,2.8639999999999996e-06,TO_DO
u_0_L2_E0,J_per_m3,21.557559115405073,TO_DO
u_ext_L2_E0,J_per_m3,0.0,TO_DO
theta_L2_E0,dimensionless,0.0,TO_DO
E_L2_E1,J_per_m3,154469.42795315263,TO_DO
l_L2_E1,metre,8.925999999999999e-07,TO_DO
r_0_L2_E1,metre,5.0552e-06,TO_DO
u_0_L2_E1,J_per_m3,0.0046969320121621975,TO_DO
u_ext_L2_E1,J_per_m3,0.0,TO_DO
theta_L2_E1,dimensionless,0.0,TO_DO
E_L2_E2,J_per_m3,185907.5415240277,TO_DO
l_L2_E2,metre,2.3237999999999997e-06,TO_DO
r_0_L2_E2,metre,2.0124e-06,TO_DO
u_0_L2_E2,J_per_m3,0.027379584398395093,TO_DO
theta_L2_E2,dimensionless,0.0,TO_DO
u_ext_L2_E2,J_per_m3,0.0,TO_DO
E_L2_E3,J_per_m3,220921.194256321,TO_DO
l_L2_E3,metre,3.2462e-06,TO_DO
r_0_L2_E3,metre,3.9596e-06,TO_DO
u_0_L2_E3,J_per_m3,0.0024255209653530597,TO_DO
u_ext_L2_E3,J_per_m3,0.0,TO_DO
theta_L2_E3,dimensionless,0.0,TO_DO
E_L2_E4,J_per_m3,150633.86501106655,TO_DO
l_L2_E4,metre,3.1413999999999997e-06,TO_DO
r_0_L2_E4,metre,1.8755999999999999e-06,TO_DO
u_0_L2_E4,J_per_m3,2.2206659805946872e-05,TO_DO
u_ext_L2_E4,J_per_m3,0.0,TO_DO
theta_L2_E4,dimensionless,0.0,TO_DO
E_L2_E5,J_per_m3,150634.52172203278,TO_DO
l_L2_E5,metre,3.2462e-06,TO_DO
r_0_L2_E5,metre,6.043599999999999e-06,TO_DO
u_0_L2_E5,J_per_m3,0.025393420229853383,TO_DO
u_ext_L2_E5,J_per_m3,0.0,TO_DO
theta_L2_E5,dimensionless,0.0,TO_DO
E_L2_E6,J_per_m3,223168.51262029566,TO_DO
l_L2_E6,metre,1.0897e-06,TO_DO
r_0_L2_E6,metre,1.0978799999999999e-05,TO_DO
u_0_L2_E6,J_per_m3,0.14609923618120538,TO_DO
u_ext_L2_E6,J_per_m3,0.0,TO_DO
theta_L2_E6,dimensionless,0.0,TO_DO
E_L2_E7,J_per_m3,190697.38916611637,TO_DO
l_L2_E7,metre,5.3556e-06,TO_DO
r_0_L2_E7,metre,1.03324e-05,TO_DO
u_0_L2_E7,J_per_m3,6.8123948372093555,TO_DO
u_ext_L2_E7,J_per_m3,0.0,TO_DO
theta_L2_E7,dimensionless,0.0,TO_DO
E_L2_E8,J_per_m3,141221.02456260193,TO_DO
l_L2_E8,metre,2.6152e-06,TO_DO
r_0_L2_E8,metre,1.4974e-05,TO_DO
u_0_L2_E8,J_per_m3,0.47246423950830285,TO_DO
u_ext_L2_E8,J_per_m3,0.0,TO_DO
theta_L2_E8,dimensionless,0.0,TO_DO
u_ext_L2_E9,J_per_m3,0.0,TO_DO
u_0_L2_E9,J_per_m3,0.4532039166167411,TO_DO
theta_L2_E9,dimensionless,0.0,TO_DO
E_L2_E9,J_per_m3,181702.4017434386,TO_DO
l_L2_E9,metre,2.6514e-06,TO_DO
r_0_L2_E9,metre,1.5612e-05,TO_DO
E_L2_E10,J_per_m3,141463.2922875015,TO_DO
l_L2_E10,metre,5.0403e-06,TO_DO
r_0_L2_E10,metre,7.3783999999999995e-06,TO_DO
u_0_L2_E10,J_per_m3,0.0,TO_DO
u_ext_L2_E10,J_per_m3,0.0,TO_DO
theta_L2_E10,dimensionless,0.0,TO_DO
E_L2_E11,J_per_m3,141370.8098571897,TO_DO
l_L2_E11,metre,3.0485e-06,TO_DO
r_0_L2_E11,metre,2.89e-06,TO_DO
u_0_L2_E11,J_per_m3,0.0,TO_DO
u_ext_L2_E11,J_per_m3,0.0,TO_DO
theta_L2_E11,dimensionless,0.0,TO_DO
E_L2_E12,J_per_m3,169678.49086264137,TO_DO
l_L2_E12,metre,5.0403e-06,TO_DO
r_0_L2_E12,metre,8.2596e-06,TO_DO
u_0_L2_E12,J_per_m3,0.0,TO_DO
u_ext_L2_E12,J_per_m3,0.0,TO_DO
theta_L2_E12,dimensionless,0.0,TO_DO
E_L2_E13,J_per_m3,83468.79021368809,TO_DO
l_L2_E13,metre,1.9886e-06,TO_DO
r_0_L2_E13,metre,1.36996e-05,TO_DO
u_0_L2_E13,J_per_m3,0.0,TO_DO
u_ext_L2_E13,J_per_m3,0.0,TO_DO
theta_L2_E13,dimensionless,0.0,TO_DO
E_L2_E14,J_per_m3,91003.28669947869,TO_DO
l_L2_E14,metre,3.1413999999999997e-06,TO_DO
r_0_L2_E14,metre,1.8755999999999999e-06,TO_DO
u_0_L2_E14,J_per_m3,2.0453546583410053e-06,TO_DO
